title,code,20,50,100,200,300,500,1000,2000,3000,5000,10000,20000
Back Text,back,0.06,0.06,0.05,0.05,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Inside Text,inside,0.01,0.01,0.01,0.01,0.01,0.06,0.06,0.06,0.04,0.02,0.02,0.02
Logo,logo,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.03,0.02,0.02,0.02
Segmented,segmented,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Swirl,swirl,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Glow,glow,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
3mm Thick,3mm-thick,0,0,0,0,0,0,0,0,0,0,0,0
Digital Proof,digital-proof,0,0,0,0,0,0,0,0,0,0,0,0
Eco Friendly,eco-friendly,0.1,0.1,0.1,0.1,0.1,0.06,0.06,0.06,0.04,0.02,0.02,0.02
Glitters,glitters,0,0,0,0,0,0,0,0,0,0,0,0
Individually Pack,individual,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
Key Chain,key-chain,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
